region,zone,district,traditional_authority,facility_name,datim_code,system,hsector,period,reporting_period,sub_groups,new_women_registered,total_women_in_booking_cohort,not_tested_for_syphilis,syphilis_negative,syphilis_positive,hiv_status_not_ascertained,previous_negative,previous_positive,new_negative,new_positive,not_on_cpt,on_cpt,no_ar_vs,already_on_art_when_starting_anc,started_art_at_0_27_weeks_of_pregnancy,started_art_at_28_weeks_of_preg,no_ar_vs_dispensed_for_infant,ar_vs_dispensed_for_infant
Central Region,Central West Zone,Lilongwe,TA Masula,Dickson Health Centre,WVjGrAph3IY,e-mastercard,Public,2019 Q3,3rd month of quarter,ANC women after 6 months,NA,167,0,167,0,0,0,1,165,1,0,2,0,1,1,0,0,2
Central Region,Central West Zone,Lilongwe,TA Kalumbu,Mtenthera Health Centre,WlkaS1NPuCt,e-mastercard,Public,2019 Q3,1st month of quarter,All patients (checked data),181,NA,NA,NA,NA,6,0,3,172,0,NA,NA,0,3,0,0,NA,NA
Central Region,Central West Zone,Lilongwe,TA Kalumbu,Mtenthera Health Centre,WlkaS1NPuCt,e-mastercard,Public,2019 Q3,1st month of quarter,ANC women after 6 months,NA,224,46,177,1,39,7,2,176,0,0,2,0,2,0,0,0,2
Central Region,Central West Zone,Lilongwe,TA Kalumbu,Mtenthera Health Centre,WlkaS1NPuCt,e-mastercard,Public,2019 Q3,2nd month of quarter,All patients (checked data),180,NA,NA,NA,NA,0,0,2,177,1,NA,NA,0,2,1,0,NA,NA
Central Region,Central West Zone,Lilongwe,TA Kalumbu,Mtenthera Health Centre,WlkaS1NPuCt,e-mastercard,Public,2019 Q3,2nd month of quarter,ANC women after 6 months,NA,166,25,140,1,27,0,5,134,0,0,5,0,5,0,0,0,5
Central Region,Central West Zone,Lilongwe,TA Kalumbu,Mtenthera Health Centre,WlkaS1NPuCt,e-mastercard,Public,2019 Q3,3rd month of quarter,All patients (checked data),169,NA,NA,NA,NA,1,0,4,163,1,NA,NA,0,1,4,0,NA,NA
Central Region,Central West Zone,Lilongwe,TA Kalumbu,Mtenthera Health Centre,WlkaS1NPuCt,e-mastercard,Public,2019 Q3,3rd month of quarter,ANC women after 6 months,NA,176,1,174,1,1,0,2,172,1,0,3,0,2,0,1,0,3
Central Region,Central West Zone,Lilongwe,TA Njewa,African Bible College Clinic,RbyahJiEq5M,e-mastercard,Private,2019 Q3,1st month of quarter,All patients (checked data),20,NA,NA,NA,NA,1,0,0,18,1,NA,NA,0,0,0,1,NA,NA
Central Region,Central West Zone,Lilongwe,TA Njewa,African Bible College Clinic,RbyahJiEq5M,e-mastercard,Private,2019 Q3,1st month of quarter,ANC women after 6 months,NA,35,2,33,0,0,2,2,30,1,0,3,0,2,1,0,0,3
Central Region,Central West Zone,Lilongwe,TA Njewa,African Bible College Clinic,RbyahJiEq5M,e-mastercard,Private,2019 Q3,2nd month of quarter,All patients (checked data),27,NA,NA,NA,NA,0,0,1,24,2,NA,NA,0,1,2,0,NA,NA
Central Region,Central West Zone,Lilongwe,TA Njewa,African Bible College Clinic,RbyahJiEq5M,e-mastercard,Private,2019 Q3,2nd month of quarter,ANC women after 6 months,NA,27,1,26,0,0,2,2,22,1,0,3,0,2,1,0,0,3
Central Region,Central West Zone,Lilongwe,TA Njewa,African Bible College Clinic,RbyahJiEq5M,e-mastercard,Private,2019 Q3,3rd month of quarter,All patients (checked data),28,NA,NA,NA,NA,0,0,4,24,0,NA,NA,0,4,0,0,NA,NA
Central Region,Central West Zone,Lilongwe,TA Njewa,African Bible College Clinic,RbyahJiEq5M,e-mastercard,Private,2019 Q3,3rd month of quarter,ANC women after 6 months,NA,39,4,35,0,1,0,2,35,1,0,3,0,2,1,0,0,3
Central Region,Central West Zone,Lilongwe,TA Njewa,Taluska Medical Centre,NA,e-mastercard,Private,2019 Q3,1st month of quarter,All patients (checked data),0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,NA,NA
Central Region,Central West Zone,Lilongwe,TA Njewa,Taluska Medical Centre,NA,e-mastercard,Private,2019 Q3,1st month of quarter,ANC women after 6 months,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Region,Central West Zone,Lilongwe,TA Njewa,Taluska Medical Centre,NA,e-mastercard,Private,2019 Q3,2nd month of quarter,All patients (checked data),0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,NA,NA
Central Region,Central West Zone,Lilongwe,TA Njewa,Taluska Medical Centre,NA,e-mastercard,Private,2019 Q3,2nd month of quarter,ANC women after 6 months,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Region,Central West Zone,Lilongwe,TA Njewa,Taluska Medical Centre,NA,e-mastercard,Private,2019 Q3,3rd month of quarter,All patients (checked data),0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,NA,NA
Central Region,Central West Zone,Lilongwe,TA Njewa,Taluska Medical Centre,NA,e-mastercard,Private,2019 Q3,3rd month of quarter,ANC women after 6 months,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Region,Central West Zone,Lilongwe,TA Njewa,Maula Prison Health Centre Static Art,RHzSTSMsZ0m,e-mastercard,Public,2019 Q3,1st month of quarter,All patients (checked data),0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,NA,NA
Central Region,Central West Zone,Lilongwe,TA Njewa,Maula Prison Health Centre Static Art,RHzSTSMsZ0m,e-mastercard,Public,2019 Q3,1st month of quarter,ANC women after 6 months,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Region,Central West Zone,Lilongwe,TA Njewa,Maula Prison Health Centre Static Art,RHzSTSMsZ0m,e-mastercard,Public,2019 Q3,2nd month of quarter,All patients (checked data),0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,NA,NA
Central Region,Central West Zone,Lilongwe,TA Njewa,Maula Prison Health Centre Static Art,RHzSTSMsZ0m,e-mastercard,Public,2019 Q3,2nd month of quarter,ANC women after 6 months,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Region,Central West Zone,Lilongwe,TA Njewa,Maula Prison Health Centre Static Art,RHzSTSMsZ0m,e-mastercard,Public,2019 Q3,3rd month of quarter,All patients (checked data),0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,NA,NA
Central Region,Central West Zone,Lilongwe,TA Njewa,Maula Prison Health Centre Static Art,RHzSTSMsZ0m,e-mastercard,Public,2019 Q3,3rd month of quarter,ANC women after 6 months,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Region,Central West Zone,Lilongwe,TA Njewa,Chitedze Health Centre,gDKXxH0HUan,POC,Public,2019 Q3,1st month of quarter,All patients (checked data),237,NA,NA,NA,NA,1,1,5,227,3,NA,NA,0,5,2,1,NA,NA
Central Region,Central West Zone,Lilongwe,TA Njewa,Chitedze Health Centre,gDKXxH0HUan,POC,Public,2019 Q3,1st month of quarter,ANC women after 6 months,NA,120,56,62,2,4,2,1,111,2,0,3,0,1,1,1,0,3
Central Region,Central West Zone,Lilongwe,TA Njewa,Chitedze Health Centre,gDKXxH0HUan,POC,Public,2019 Q3,2nd month of quarter,All patients (checked data),216,NA,NA,NA,NA,21,4,7,181,3,NA,NA,0,7,3,0,NA,NA
Central Region,Central West Zone,Lilongwe,TA Njewa,Chitedze Health Centre,gDKXxH0HUan,POC,Public,2019 Q3,2nd month of quarter,ANC women after 6 months,NA,252,115,137,0,12,6,6,224,4,0,10,0,6,4,0,0,10
Central Region,Central West Zone,Lilongwe,TA Njewa,Chitedze Health Centre,gDKXxH0HUan,POC,Public,2019 Q3,3rd month of quarter,All patients (checked data),191,NA,NA,NA,NA,7,0,6,173,5,NA,NA,0,6,5,0,NA,NA
Central Region,Central West Zone,Lilongwe,TA Njewa,Chitedze Health Centre,gDKXxH0HUan,POC,Public,2019 Q3,3rd month of quarter,ANC women after 6 months,NA,215,19,191,5,4,3,9,197,2,0,11,0,9,2,0,0,11
Central Region,Central West Zone,Lilongwe,TA Njewa,Mbabvi Health Centre,LU1qTneIM6y,e-mastercard,Public,2019 Q3,1st month of quarter,All patients (checked data),94,NA,NA,NA,NA,0,0,0,90,4,NA,NA,2,0,1,1,NA,NA
Central Region,Central West Zone,Lilongwe,TA Njewa,Mbabvi Health Centre,LU1qTneIM6y,e-mastercard,Public,2019 Q3,1st month of quarter,ANC women after 6 months,NA,114,114,0,0,2,0,0,112,0,0,0,0,0,0,0,0,0
Central Region,Central West Zone,Lilongwe,TA Njewa,Mbabvi Health Centre,LU1qTneIM6y,e-mastercard,Public,2019 Q3,2nd month of quarter,All patients (checked data),91,NA,NA,NA,NA,0,0,5,86,0,NA,NA,0,5,0,0,NA,NA
Central Region,Central West Zone,Lilongwe,TA Njewa,Mbabvi Health Centre,LU1qTneIM6y,e-mastercard,Public,2019 Q3,2nd month of quarter,ANC women after 6 months,NA,114,114,0,0,8,0,2,102,2,0,4,0,2,1,1,0,4
Central Region,Central West Zone,Lilongwe,TA Njewa,Mbabvi Health Centre,LU1qTneIM6y,e-mastercard,Public,2019 Q3,3rd month of quarter,All patients (checked data),56,NA,NA,NA,NA,0,0,0,56,0,NA,NA,0,0,0,0,NA,NA
Central Region,Central West Zone,Lilongwe,TA Njewa,Mbabvi Health Centre,LU1qTneIM6y,e-mastercard,Public,2019 Q3,3rd month of quarter,ANC women after 6 months,NA,101,86,15,0,1,0,2,97,1,0,3,0,2,0,1,0,3
Central Region,Central West Zone,Lilongwe,TA Njewa,Airwing Clinic,dodorgunit0001,e-mastercard,Public,2019 Q3,1st month of quarter,All patients (checked data),0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,NA,NA
Central Region,Central West Zone,Lilongwe,TA Njewa,Airwing Clinic,dodorgunit0001,e-mastercard,Public,2019 Q3,1st month of quarter,ANC women after 6 months,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Region,Central West Zone,Lilongwe,TA Njewa,Airwing Clinic,dodorgunit0001,e-mastercard,Public,2019 Q3,2nd month of quarter,All patients (checked data),0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,NA,NA
Central Region,Central West Zone,Lilongwe,TA Njewa,Airwing Clinic,dodorgunit0001,e-mastercard,Public,2019 Q3,2nd month of quarter,ANC women after 6 months,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Region,Central West Zone,Lilongwe,TA Njewa,Airwing Clinic,dodorgunit0001,e-mastercard,Public,2019 Q3,3rd month of quarter,All patients (checked data),0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,NA,NA
Central Region,Central West Zone,Lilongwe,TA Njewa,Airwing Clinic,dodorgunit0001,e-mastercard,Public,2019 Q3,3rd month of quarter,ANC women after 6 months,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Region,Central West Zone,Lilongwe,TA Njewa,Good Hope Private Clinic,P6WE2Ng6LQz,e-mastercard,Private,2019 Q3,1st month of quarter,All patients (checked data),55,NA,NA,NA,NA,10,14,3,28,0,NA,NA,0,3,0,0,NA,NA
Central Region,Central West Zone,Lilongwe,TA Njewa,Good Hope Private Clinic,P6WE2Ng6LQz,e-mastercard,Private,2019 Q3,1st month of quarter,ANC women after 6 months,NA,41,1,40,0,0,15,0,25,1,0,1,0,0,1,0,0,1
Central Region,Central West Zone,Lilongwe,TA Njewa,Good Hope Private Clinic,P6WE2Ng6LQz,e-mastercard,Private,2019 Q3,2nd month of quarter,All patients (checked data),31,NA,NA,NA,NA,1,9,2,18,1,NA,NA,0,2,1,0,NA,NA
Central Region,Central West Zone,Lilongwe,TA Njewa,Good Hope Private Clinic,P6WE2Ng6LQz,e-mastercard,Private,2019 Q3,2nd month of quarter,ANC women after 6 months,NA,55,13,42,0,18,10,0,26,1,0,1,0,0,1,0,0,1
Central Region,Central West Zone,Lilongwe,TA Njewa,Good Hope Private Clinic,P6WE2Ng6LQz,e-mastercard,Private,2019 Q3,3rd month of quarter,All patients (checked data),27,NA,NA,NA,NA,3,11,1,12,0,NA,NA,0,1,0,0,NA,NA
Central Region,Central West Zone,Lilongwe,TA Njewa,Good Hope Private Clinic,P6WE2Ng6LQz,e-mastercard,Private,2019 Q3,3rd month of quarter,ANC women after 6 months,NA,74,13,61,0,13,25,1,31,4,0,5,0,1,4,0,0,5
Central Region,Central West Zone,Lilongwe,TA Chiseka,Mitundu Community Hospital,EBRvme9qKSd,POC,Public,2019 Q3,1st month of quarter,All patients (checked data),0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,NA,NA
Central Region,Central West Zone,Lilongwe,TA Chiseka,Mitundu Community Hospital,EBRvme9qKSd,POC,Public,2019 Q3,1st month of quarter,ANC women after 6 months,NA,483,483,0,0,1,0,11,471,0,0,11,0,11,0,0,0,11
Central Region,Central West Zone,Lilongwe,TA Chiseka,Mitundu Community Hospital,EBRvme9qKSd,POC,Public,2019 Q3,2nd month of quarter,All patients (checked data),321,NA,NA,NA,NA,0,23,3,292,3,NA,NA,0,3,2,1,NA,NA
Central Region,Central West Zone,Lilongwe,TA Chiseka,Mitundu Community Hospital,EBRvme9qKSd,POC,Public,2019 Q3,2nd month of quarter,ANC women after 6 months,NA,354,354,0,0,1,0,5,342,6,0,11,0,5,4,2,0,11
Central Region,Central West Zone,Lilongwe,TA Chiseka,Mitundu Community Hospital,EBRvme9qKSd,POC,Public,2019 Q3,3rd month of quarter,All patients (checked data),235,NA,NA,NA,NA,20,7,5,201,2,NA,NA,0,5,1,1,NA,NA
Central Region,Central West Zone,Lilongwe,TA Chiseka,Mitundu Community Hospital,EBRvme9qKSd,POC,Public,2019 Q3,3rd month of quarter,ANC women after 6 months,NA,411,30,377,4,4,11,5,390,1,0,6,0,5,1,0,0,6
Central Region,Central West Zone,Lilongwe,TA Chiseka,Mlale Mission Hospital,eVzZdG8IMHj,e-mastercard,Public,2019 Q3,1st month of quarter,All patients (checked data),47,NA,NA,NA,NA,0,4,3,39,1,NA,NA,0,3,1,0,NA,NA
Central Region,Central West Zone,Lilongwe,TA Chiseka,Mlale Mission Hospital,eVzZdG8IMHj,e-mastercard,Public,2019 Q3,1st month of quarter,ANC women after 6 months,NA,46,0,45,1,0,0,2,43,1,0,3,0,2,1,0,0,3
Central Region,Central West Zone,Lilongwe,TA Chiseka,Mlale Mission Hospital,eVzZdG8IMHj,e-mastercard,Public,2019 Q3,2nd month of quarter,All patients (checked data),36,NA,NA,NA,NA,0,0,2,34,0,NA,NA,0,2,0,0,NA,NA
Central Region,Central West Zone,Lilongwe,TA Chiseka,Mlale Mission Hospital,eVzZdG8IMHj,e-mastercard,Public,2019 Q3,2nd month of quarter,ANC women after 6 months,NA,36,1,34,1,0,0,2,34,0,0,2,0,2,0,0,0,2
Central Region,Central West Zone,Lilongwe,TA Chiseka,Mlale Mission Hospital,eVzZdG8IMHj,e-mastercard,Public,2019 Q3,3rd month of quarter,All patients (checked data),41,NA,NA,NA,NA,3,0,1,36,1,NA,NA,0,1,1,0,NA,NA
Central Region,Central West Zone,Lilongwe,TA Chiseka,Mlale Mission Hospital,eVzZdG8IMHj,e-mastercard,Public,2019 Q3,3rd month of quarter,ANC women after 6 months,NA,44,9,35,0,5,0,1,37,1,0,2,0,1,1,0,0,2
Central Region,Central West Zone,Lilongwe,TA Chiseka,Chioza Health Centre,SkFHsoaUBM0,e-mastercard,Public,2019 Q3,1st month of quarter,All patients (checked data),96,NA,NA,NA,NA,0,0,2,94,0,NA,NA,0,2,0,0,NA,NA
Central Region,Central West Zone,Lilongwe,TA Chiseka,Chioza Health Centre,SkFHsoaUBM0,e-mastercard,Public,2019 Q3,1st month of quarter,ANC women after 6 months,NA,116,4,112,0,0,1,1,111,3,0,4,0,1,3,0,0,4
Central Region,Central West Zone,Lilongwe,TA Chiseka,Chioza Health Centre,SkFHsoaUBM0,e-mastercard,Public,2019 Q3,2nd month of quarter,All patients (checked data),84,NA,NA,NA,NA,0,0,2,82,0,NA,NA,0,2,0,0,NA,NA
Central Region,Central West Zone,Lilongwe,TA Chiseka,Chioza Health Centre,SkFHsoaUBM0,e-mastercard,Public,2019 Q3,2nd month of quarter,ANC women after 6 months,NA,109,95,14,0,0,0,1,108,0,0,1,0,1,0,0,0,1
Central Region,Central West Zone,Lilongwe,TA Chiseka,Chioza Health Centre,SkFHsoaUBM0,e-mastercard,Public,2019 Q3,3rd month of quarter,All patients (checked data),116,NA,NA,NA,NA,0,0,2,113,1,NA,NA,0,2,1,0,NA,NA
Central Region,Central West Zone,Lilongwe,TA Chiseka,Chioza Health Centre,SkFHsoaUBM0,e-mastercard,Public,2019 Q3,3rd month of quarter,ANC women after 6 months,NA,118,21,95,2,0,0,1,116,1,0,2,0,1,1,0,0,2
Central Region,Central West Zone,Lilongwe,TA Khongoni,Khongoni Health Centre,UYaWhEDo5BU,POC,Public,2019 Q3,1st month of quarter,All patients (checked data),189,NA,NA,NA,NA,1,0,3,182,3,NA,NA,0,3,1,2,NA,NA
Central Region,Central West Zone,Lilongwe,TA Khongoni,Khongoni Health Centre,UYaWhEDo5BU,POC,Public,2019 Q3,1st month of quarter,ANC women after 6 months,NA,186,0,184,2,0,0,1,184,1,0,2,0,1,1,0,0,2
Central Region,Central West Zone,Lilongwe,TA Khongoni,Khongoni Health Centre,UYaWhEDo5BU,POC,Public,2019 Q3,2nd month of quarter,All patients (checked data),161,NA,NA,NA,NA,0,0,4,157,0,NA,NA,0,4,0,0,NA,NA
Central Region,Central West Zone,Lilongwe,TA Khongoni,Khongoni Health Centre,UYaWhEDo5BU,POC,Public,2019 Q3,2nd month of quarter,ANC women after 6 months,NA,151,21,130,0,0,0,0,150,1,0,1,0,0,1,0,0,1
Central Region,Central West Zone,Lilongwe,TA Khongoni,Khongoni Health Centre,UYaWhEDo5BU,POC,Public,2019 Q3,3rd month of quarter,All patients (checked data),152,NA,NA,NA,NA,0,0,2,150,0,NA,NA,0,2,0,0,NA,NA
Central Region,Central West Zone,Lilongwe,TA Khongoni,Khongoni Health Centre,UYaWhEDo5BU,POC,Public,2019 Q3,3rd month of quarter,ANC women after 6 months,NA,161,0,161,0,0,0,4,155,2,0,6,0,4,2,0,0,6
Central Region,Central West Zone,Lilongwe,TA Khongoni,Chilobwe Majiga Health Centre,NBXlY4xtdhZ,e-mastercard,Public,2019 Q3,1st month of quarter,All patients (checked data),40,NA,NA,NA,NA,0,0,0,40,0,NA,NA,0,0,0,0,NA,NA
Central Region,Central West Zone,Lilongwe,TA Khongoni,Chilobwe Majiga Health Centre,NBXlY4xtdhZ,e-mastercard,Public,2019 Q3,1st month of quarter,ANC women after 6 months,NA,54,0,54,0,0,0,0,54,0,0,0,0,0,0,0,0,0
Central Region,Central West Zone,Lilongwe,TA Khongoni,Chilobwe Majiga Health Centre,NBXlY4xtdhZ,e-mastercard,Public,2019 Q3,2nd month of quarter,All patients (checked data),28,NA,NA,NA,NA,0,0,2,26,0,NA,NA,0,2,0,0,NA,NA
Central Region,Central West Zone,Lilongwe,TA Khongoni,Chilobwe Majiga Health Centre,NBXlY4xtdhZ,e-mastercard,Public,2019 Q3,2nd month of quarter,ANC women after 6 months,NA,21,0,21,0,0,0,1,19,1,0,2,0,1,1,0,0,2
Central Region,Central West Zone,Lilongwe,TA Khongoni,Chilobwe Majiga Health Centre,NBXlY4xtdhZ,e-mastercard,Public,2019 Q3,3rd month of quarter,All patients (checked data),36,NA,NA,NA,NA,0,0,2,34,0,NA,NA,0,2,0,0,NA,NA
Central Region,Central West Zone,Lilongwe,TA Khongoni,Chilobwe Majiga Health Centre,NBXlY4xtdhZ,e-mastercard,Public,2019 Q3,3rd month of quarter,ANC women after 6 months,NA,53,0,53,0,0,0,0,53,0,0,0,0,0,0,0,0,0
Central Region,Central West Zone,Lilongwe,TA Khongoni,Malembo Health Centre Lilongwe,UN8y5QiAv1c,e-mastercard,Public,2019 Q3,1st month of quarter,All patients (checked data),82,NA,NA,NA,NA,13,0,0,68,1,NA,NA,0,0,0,1,NA,NA
Central Region,Central West Zone,Lilongwe,TA Khongoni,Malembo Health Centre Lilongwe,UN8y5QiAv1c,e-mastercard,Public,2019 Q3,1st month of quarter,ANC women after 6 months,NA,89,2,86,1,2,0,0,86,1,0,1,0,0,1,0,0,1
Central Region,Central West Zone,Lilongwe,TA Khongoni,Malembo Health Centre Lilongwe,UN8y5QiAv1c,e-mastercard,Public,2019 Q3,2nd month of quarter,All patients (checked data),66,NA,NA,NA,NA,14,0,1,50,1,NA,NA,0,1,1,0,NA,NA
Central Region,Central West Zone,Lilongwe,TA Khongoni,Malembo Health Centre Lilongwe,UN8y5QiAv1c,e-mastercard,Public,2019 Q3,2nd month of quarter,ANC women after 6 months,NA,78,0,78,0,0,0,0,78,0,0,0,0,0,0,0,0,0
Central Region,Central West Zone,Lilongwe,TA Khongoni,Malembo Health Centre Lilongwe,UN8y5QiAv1c,e-mastercard,Public,2019 Q3,3rd month of quarter,All patients (checked data),81,NA,NA,NA,NA,0,0,1,79,1,NA,NA,0,1,1,0,NA,NA
Central Region,Central West Zone,Lilongwe,TA Khongoni,Malembo Health Centre Lilongwe,UN8y5QiAv1c,e-mastercard,Public,2019 Q3,3rd month of quarter,ANC women after 6 months,NA,63,11,52,0,4,0,1,58,0,0,1,0,1,0,0,0,1
Central Region,Central West Zone,Lilongwe,TA Mtema,Ngoni Health Centre,otD4vVJslko,POC,Public,2019 Q3,1st month of quarter,All patients (checked data),86,NA,NA,NA,NA,0,0,3,83,0,NA,NA,0,3,0,0,NA,NA
Central Region,Central West Zone,Lilongwe,TA Mtema,Ngoni Health Centre,otD4vVJslko,POC,Public,2019 Q3,1st month of quarter,ANC women after 6 months,NA,105,102,3,0,11,0,0,93,1,0,1,0,0,1,0,0,1
Central Region,Central West Zone,Lilongwe,TA Mtema,Ngoni Health Centre,otD4vVJslko,POC,Public,2019 Q3,2nd month of quarter,All patients (checked data),85,NA,NA,NA,NA,33,0,2,49,1,NA,NA,1,2,0,0,NA,NA
Central Region,Central West Zone,Lilongwe,TA Mtema,Ngoni Health Centre,otD4vVJslko,POC,Public,2019 Q3,2nd month of quarter,ANC women after 6 months,NA,84,78,6,0,5,0,1,78,0,0,1,0,1,0,0,0,1
Central Region,Central West Zone,Lilongwe,TA Mtema,Ngoni Health Centre,otD4vVJslko,POC,Public,2019 Q3,3rd month of quarter,All patients (checked data),106,NA,NA,NA,NA,1,0,1,104,0,NA,NA,0,1,0,0,NA,NA
Central Region,Central West Zone,Lilongwe,TA Mtema,Ngoni Health Centre,otD4vVJslko,POC,Public,2019 Q3,3rd month of quarter,ANC women after 6 months,NA,61,32,28,1,8,0,1,51,1,0,2,0,1,1,0,0,2
Central Region,Central West Zone,Lilongwe,TA Masumbankhunda,Malingunde Health Centre,ZiH18jzDSLN,POC,Public,2019 Q3,1st month of quarter,All patients (checked data),137,NA,NA,NA,NA,2,0,5,129,1,NA,NA,0,5,1,0,NA,NA
Central Region,Central West Zone,Lilongwe,TA Masumbankhunda,Malingunde Health Centre,ZiH18jzDSLN,POC,Public,2019 Q3,1st month of quarter,ANC women after 6 months,NA,51,4,46,1,2,0,2,47,0,0,2,0,2,0,0,0,2
Central Region,Central West Zone,Lilongwe,TA Masumbankhunda,Malingunde Health Centre,ZiH18jzDSLN,POC,Public,2019 Q3,2nd month of quarter,All patients (checked data),142,NA,NA,NA,NA,3,1,3,134,1,NA,NA,0,3,1,0,NA,NA
Central Region,Central West Zone,Lilongwe,TA Masumbankhunda,Malingunde Health Centre,ZiH18jzDSLN,POC,Public,2019 Q3,2nd month of quarter,ANC women after 6 months,NA,58,2,56,0,0,0,0,58,0,0,0,0,0,0,0,0,0
Central Region,Central West Zone,Lilongwe,TA Masumbankhunda,Malingunde Health Centre,ZiH18jzDSLN,POC,Public,2019 Q3,3rd month of quarter,All patients (checked data),150,NA,NA,NA,NA,0,0,6,142,2,NA,NA,0,6,2,0,NA,NA
Central Region,Central West Zone,Lilongwe,TA Masumbankhunda,Malingunde Health Centre,ZiH18jzDSLN,POC,Public,2019 Q3,3rd month of quarter,ANC women after 6 months,NA,246,10,231,5,2,0,3,240,1,0,4,0,3,1,0,0,4
Central Region,Central West Zone,Lilongwe,TA Masumbankhunda,Ndaula Health Centre,ocEzLuiZxoZ,e-mastercard,Public,2019 Q3,1st month of quarter,All patients (checked data),90,NA,NA,NA,NA,26,0,2,61,1,NA,NA,0,2,1,0,NA,NA
Central Region,Central West Zone,Lilongwe,TA Masumbankhunda,Ndaula Health Centre,ocEzLuiZxoZ,e-mastercard,Public,2019 Q3,1st month of quarter,ANC women after 6 months,NA,71,66,5,0,33,0,0,38,0,0,0,0,0,0,0,0,0
Central Region,Central West Zone,Lilongwe,TA Masumbankhunda,Ndaula Health Centre,ocEzLuiZxoZ,e-mastercard,Public,2019 Q3,2nd month of quarter,All patients (checked data),65,NA,NA,NA,NA,21,0,3,41,0,NA,NA,0,3,0,0,NA,NA
Central Region,Central West Zone,Lilongwe,TA Masumbankhunda,Ndaula Health Centre,ocEzLuiZxoZ,e-mastercard,Public,2019 Q3,2nd month of quarter,ANC women after 6 months,NA,65,65,0,0,1,0,2,61,1,0,3,0,2,1,0,0,3
Central Region,Central West Zone,Lilongwe,TA Masumbankhunda,Ndaula Health Centre,ocEzLuiZxoZ,e-mastercard,Public,2019 Q3,3rd month of quarter,All patients (checked data),67,NA,NA,NA,NA,4,1,0,61,1,NA,NA,0,0,0,1,NA,NA
Central Region,Central West Zone,Lilongwe,TA Masumbankhunda,Ndaula Health Centre,ocEzLuiZxoZ,e-mastercard,Public,2019 Q3,3rd month of quarter,ANC women after 6 months,NA,49,21,28,0,16,0,0,33,0,0,0,0,0,0,0,0,0
Central Region,Central West Zone,Lilongwe,TA Tsabango,Kamuzu Barracks,dodorgunit0005,e-mastercard,Public,2019 Q3,1st month of quarter,All patients (checked data),20,NA,NA,NA,NA,0,0,0,20,0,NA,NA,0,0,0,0,NA,NA
Central Region,Central West Zone,Lilongwe,TA Tsabango,Kamuzu Barracks,dodorgunit0005,e-mastercard,Public,2019 Q3,1st month of quarter,ANC women after 6 months,NA,24,12,12,0,0,2,4,17,1,0,5,0,4,1,0,0,5
Central Region,Central West Zone,Lilongwe,TA Tsabango,Kamuzu Barracks,dodorgunit0005,e-mastercard,Public,2019 Q3,2nd month of quarter,All patients (checked data),20,NA,NA,NA,NA,0,0,1,19,0,NA,NA,0,1,0,0,NA,NA
Central Region,Central West Zone,Lilongwe,TA Tsabango,Kamuzu Barracks,dodorgunit0005,e-mastercard,Public,2019 Q3,2nd month of quarter,ANC women after 6 months,NA,13,3,10,0,0,0,0,13,0,0,0,0,0,0,0,0,0
Central Region,Central West Zone,Lilongwe,TA Tsabango,Kamuzu Barracks,dodorgunit0005,e-mastercard,Public,2019 Q3,3rd month of quarter,All patients (checked data),22,NA,NA,NA,NA,9,0,2,11,0,NA,NA,0,2,0,0,NA,NA
Central Region,Central West Zone,Lilongwe,TA Tsabango,Kamuzu Barracks,dodorgunit0005,e-mastercard,Public,2019 Q3,3rd month of quarter,ANC women after 6 months,NA,12,8,4,0,0,4,2,6,0,0,2,0,2,0,0,0,2
Central Region,Central West Zone,Lilongwe,TA Tsabango,Lighthouse,IpwybTWv2Nx,POC,Public,2019 Q3,1st month of quarter,All patients (checked data),0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0,0,0,0,NA,NA
Central Region,Central West Zone,Lilongwe,TA Tsabango,Lighthouse,IpwybTWv2Nx,POC,Public,2019 Q3,1st month of quarter,ANC women after 6 months,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
